weitersagen	1
schmelzen	1
einschläfern	1
gründen	1
ändern	1
testen	1
verändern	1
verkünden	1
entwickeln	1
aufbauen	1
herstellen	1
übermitteln	1
zersägen	1
nehmen	2
befehlen	2
erlauben	2
hinzukommen	2
sterben	2
anfangen	2
richten	2
übersehen	2
verlieren	2
besitzen	3
vorherrschen	3
liegen	3
vorkommen	3
vorhanden	3
dürfen	3
behalten	3
können	3
vorliegen	3
sein	3
dauern	3
unterscheiden	3
betreffen	3
angehören	3
existieren	3
fehlen	3
müssen	3
übereinstimmen	3
kaufen	4
trinken	4
saufen	4
verzehren	4
inhalieren	4
begreifen	4
kontrollieren	4
untersuchen	4
essen	4
aufessen	4
bedenken	4
nachprüfen	4
einschlafen	4
fallen	5
schrumpfen	5
zunehmen	5
wachsen	5
vorgehen	5
diskutieren	5
ansteigen	5
beraten	5
sinken	5
laufen	5
hämmern	5
schneiden	5
orientieren	5
