weitersagen	3
schmelzen	4
einschläfern	7
gründen	5
ändern	4
testen	5
verändern	4
verkünden	3
entwickeln	1
aufbauen	5
herstellen	1
übermitteln	3
zersägen	5
nehmen	7
befehlen	6
erlauben	6
hinzukommen	1
sterben	1
anfangen	2
richten	5
übersehen	5
verlieren	7
besitzen	7
vorherrschen	2
liegen	5
vorkommen	2
vorhanden	2
dürfen	6
behalten	7
können	6
vorliegen	2
sein	1
dauern	2
unterscheiden	5
betreffen	5
angehören	5
existieren	1
fehlen	1
müssen	5
übereinstimmen	5
kaufen	7
trinken	7
saufen	7
verzehren	7
inhalieren	7
begreifen	5
kontrollieren	5
untersuchen	5
essen	7
aufessen	7
bedenken	5
nachprüfen	5
einschlafen	7
fallen	4
schrumpfen	4
zunehmen	4
wachsen	4
vorgehen	1
diskutieren	3
ansteigen	4
beraten	3
sinken	4
laufen	5
hämmern	5
schneiden	5
orientieren	5
